恒电位电解I-t曲线
电流参考方向：阴极电流为正
实验日期：2019-09-06
实验时间：17:18:34
静置时间(S) = 3
恒定电位(V) = -1.
运行时间(S) = 360.
采样周期(S) = 0.05
电流量程(A) = 5.0E-03
曲线样点数 = 7202


样点数据表：

序号          时间(S)        电流(A)

0             0.000         5.108360E-3
1             0.050         5.112318E-3
2             0.100         5.101711E-3
3             0.150         4.319421E-3
4             0.200         3.410893E-3
5             0.250         2.837165E-3
6             0.300         2.433133E-3
7             0.350         2.158871E-3
8             0.400         1.958480E-3
9             0.450         1.792250E-3
10            0.500         1.661183E-3
11            0.550         1.549504E-3
12            0.600         1.469887E-3
13            0.650         1.450884E-3
14            0.700         1.395816E-3
15            0.750         1.339764E-3
16            0.800         1.292361E-3
17            0.850         1.241666E-3
18            0.900         1.236934E-3
19            0.950         1.200256E-3
20            1.000         1.159624E-3
21            1.050         1.133995E-3
22            1.100         1.113070E-3
23            1.150         1.111359E-3
24            1.200         1.091930E-3
25            1.250         1.077684E-3
26            1.300         1.058208E-3
27            1.350         1.046930E-3
28            1.400         1.036050E-3
29            1.450         1.018349E-3
30            1.500         9.999368E-4
31            1.550         9.895898E-4
32            1.600         9.716675E-4
33            1.650         9.776948E-4
34            1.700         9.564327E-4
35            1.750         9.514573E-4
36            1.800         9.493100E-4
37            1.850         9.515323E-4
38            1.900         9.383326E-4
39            1.950         9.265030E-4
40            2.000         9.098760E-4
41            2.050         9.033215E-4
42            2.100         9.129129E-4
43            2.150         9.045511E-4
44            2.200         8.906459E-4
45            2.250         8.800868E-4
46            2.300         8.745496E-4
47            2.350         8.614745E-4
48            2.400         8.478846E-4
49            2.450         8.452595E-4
50            2.500         8.455155E-4
51            2.550         8.387207E-4
52            2.600         8.309516E-4
53            2.650         8.460086E-4
54            2.700         8.418449E-4
55            2.750         8.365981E-4
56            2.800         8.315417E-4
57            2.850         8.253179E-4
58            2.900         8.187787E-4
59            2.950         8.309830E-4
60            3.000         8.304523E-4
61            3.050         8.299249E-4
62            3.100         8.166565E-4
63            3.150         8.070833E-4
64            3.200         7.944610E-4
65            3.250         7.927913E-4
66            3.300         7.890020E-4
67            3.350         7.770725E-4
68            3.400         7.672780E-4
69            3.450         7.574055E-4
70            3.500         7.506293E-4
71            3.550         7.503607E-4
72            3.600         7.450139E-4
73            3.650         7.452480E-4
74            3.700         7.408659E-4
75            3.750         7.383376E-4
76            3.800         7.538440E-4
77            3.850         7.630860E-4
78            3.900         7.663728E-4
79            3.950         7.633889E-4
80            4.000         7.567031E-4
81            4.050         7.525674E-4
82            4.100         7.493837E-4
83            4.150         7.560290E-4
84            4.200         7.601677E-4
85            4.250         7.530855E-4
86            4.300         7.546056E-4
87            4.350         7.523647E-4
88            4.400         7.518995E-4
89            4.450         7.558854E-4
90            4.500         7.513033E-4
91            4.550         7.563003E-4
92            4.600         7.561975E-4
93            4.650         7.657485E-4
94            4.700         7.646935E-4
95            4.750         7.533883E-4
96            4.800         7.412467E-4
97            4.850         7.440496E-4
98            4.900         7.528327E-4
99            4.950         7.411216E-4
100           5.000         7.494712E-4
101           5.050         7.428822E-4
102           5.100         7.248444E-4
103           5.150         7.263332E-4
104           5.200         7.092913E-4
105           5.250         7.096158E-4
106           5.300         7.114854E-4
107           5.350         7.028396E-4
108           5.400         6.894867E-4
109           5.450         6.851233E-4
110           5.500         6.831319E-4
111           5.550         6.800761E-4
112           5.600         6.856102E-4
113           5.650         6.908445E-4
114           5.700         6.830445E-4
115           5.750         6.799076E-4
116           5.800         6.747856E-4
117           5.850         6.663394E-4
118           5.900         6.670636E-4
119           5.950         6.720545E-4
120           6.000         6.959010E-4
121           6.050         7.013507E-4
122           6.100         6.912159E-4
123           6.150         6.858130E-4
124           6.200         6.791367E-4
125           6.250         6.740616E-4
126           6.300         6.751571E-4
127           6.350         6.709932E-4
128           6.400         6.646542E-4
129           6.450         6.658058E-4
130           6.500         6.796641E-4
131           6.550         6.773514E-4
132           6.600         6.757063E-4
133           6.650         6.797921E-4
134           6.700         6.810780E-4
135           6.750         6.718767E-4
136           6.800         6.747387E-4
137           6.850         6.793301E-4
138           6.900         6.818926E-4
139           6.950         6.850014E-4
140           7.000         6.809251E-4
141           7.050         6.772670E-4
142           7.100         6.835719E-4
143           7.150         6.819802E-4
144           7.200         6.818241E-4
145           7.250         6.960789E-4
146           7.300         6.853011E-4
147           7.350         6.758469E-4
148           7.400         6.708498E-4
149           7.450         6.777977E-4
150           7.500         6.738835E-4
151           7.550         6.836125E-4
152           7.600         6.816306E-4
153           7.650         6.809938E-4
154           7.700         6.820427E-4
155           7.750         6.856913E-4
156           7.800         6.829821E-4
157           7.850         6.749323E-4
158           7.900         6.689738E-4
159           7.950         6.762651E-4
160           8.000         6.891873E-4
161           8.050         6.767802E-4
162           8.100         6.710619E-4
163           8.150         6.710900E-4
164           8.200         6.841057E-4
165           8.250         6.822299E-4
166           8.300         6.729535E-4
167           8.350         6.621820E-4
168           8.400         6.583895E-4
169           8.450         6.560954E-4
170           8.500         6.597036E-4
171           8.550         6.668076E-4
172           8.600         6.756408E-4
173           8.650         6.687460E-4
174           8.700         6.654718E-4
175           8.750         6.657685E-4
176           8.800         6.542758E-4
177           8.850         6.569755E-4
178           8.900         6.634804E-4
179           8.950         6.606433E-4
180           9.000         6.572722E-4
181           9.050         6.535735E-4
182           9.100         6.510110E-4
183           9.150         6.526745E-4
184           9.200         6.487199E-4
185           9.250         6.418969E-4
186           9.300         6.435885E-4
187           9.350         6.409012E-4
188           9.400         6.375147E-4
189           9.450         6.324083E-4
190           9.500         6.258162E-4
191           9.550         6.227792E-4
192           9.600         6.284506E-4
193           9.650         6.303951E-4
194           9.700         6.265309E-4
195           9.750         6.294399E-4
196           9.800         6.253792E-4
197           9.850         6.206131E-4
198           9.900         6.197953E-4
199           9.950         6.229728E-4
200           10.000        6.297052E-4
201           10.050        6.272800E-4
202           10.100        6.278948E-4
203           10.150        6.245646E-4
204           10.200        6.294991E-4
205           10.250        6.247456E-4
206           10.300        6.168674E-4
207           10.350        6.297926E-4
208           10.400        6.305043E-4
209           10.450        6.409323E-4
210           10.500        6.420558E-4
211           10.550        6.459950E-4
212           10.600        6.299423E-4
213           10.650        6.366625E-4
214           10.700        6.319838E-4
215           10.750        6.304981E-4
216           10.800        6.250483E-4
217           10.850        6.270427E-4
218           10.900        6.288126E-4
219           10.950        6.264311E-4
220           11.000        6.399055E-4
221           11.050        6.426086E-4
222           11.100        6.282945E-4
223           11.150        6.299144E-4
224           11.200        6.419000E-4
225           11.250        6.506176E-4
226           11.300        6.492632E-4
227           11.350        6.420717E-4
228           11.400        6.507956E-4
229           11.450        6.583398E-4
230           11.500        6.654313E-4
231           11.550        6.614735E-4
232           11.600        6.558457E-4
233           11.650        6.517757E-4
234           11.700        6.474435E-4
235           11.750        6.402459E-4
236           11.800        6.329420E-4
237           11.850        6.357512E-4
238           11.900        6.363691E-4
239           11.950        6.303888E-4
240           12.000        6.229664E-4
241           12.050        6.303264E-4
242           12.100        6.221830E-4
243           12.150        6.199794E-4
244           12.200        6.199201E-4
245           12.250        6.146420E-4
246           12.300        6.132906E-4
247           12.350        6.074538E-4
248           12.400        6.127661E-4
249           12.450        6.078190E-4
250           12.500        6.030465E-4
251           12.550        6.014672E-4
252           12.600        5.953215E-4
253           12.650        5.941697E-4
254           12.700        6.015233E-4
255           12.750        6.084152E-4
256           12.800        6.036271E-4
257           12.850        6.135369E-4
258           12.900        6.248360E-4
259           12.950        6.179255E-4
260           13.000        6.193612E-4
261           13.050        6.184592E-4
262           13.100        6.218240E-4
263           13.150        6.212747E-4
264           13.200        6.167114E-4
265           13.250        6.142425E-4
266           13.300        6.137494E-4
267           13.350        6.331918E-4
268           13.400        6.322053E-4
269           13.450        6.251982E-4
270           13.500        6.204506E-4
271           13.550        6.169113E-4
272           13.600        6.158531E-4
273           13.650        6.137555E-4
274           13.700        6.088084E-4
275           13.750        6.094108E-4
276           13.800        6.080563E-4
277           13.850        6.023163E-4
