July 9, 2019   19:34:30
Bulk Electrolysis with Coulometry
File: it-5000s
Data Source:  Experiment
Instrument Model:  CHI604E
Header: 
Note: 

Init E (V) = 2.5
End Current Ratio (%) = 10
Data Storage Interval (s) = 5

Total Q = -3.2446e+0C
End i = -8.6441e-4A

Time/sec, Charge/C, Current/A

5.000, -2.937e-3, -5.874e-4
10.000, -5.313e-3, -4.751e-4
15.000, -7.597e-3, -4.568e-4
20.000, -9.824e-3, -4.454e-4
25.000, -1.201e-2, -4.364e-4
30.000, -1.415e-2, -4.289e-4
35.000, -1.626e-2, -4.222e-4
40.000, -1.834e-2, -4.159e-4
45.000, -2.039e-2, -4.102e-4
50.000, -2.242e-2, -4.052e-4
55.000, -2.442e-2, -4.003e-4
60.000, -2.640e-2, -3.951e-4
65.000, -2.835e-2, -3.902e-4
70.000, -3.027e-2, -3.854e-4
75.000, -3.218e-2, -3.808e-4
80.000, -3.406e-2, -3.765e-4
85.000, -3.592e-2, -3.719e-4
90.000, -3.776e-2, -3.675e-4
95.000, -3.958e-2, -3.638e-4
100.000, -4.138e-2, -3.606e-4
105.000, -4.317e-2, -3.575e-4
110.000, -4.494e-2, -3.549e-4
115.000, -4.671e-2, -3.528e-4
120.000, -4.846e-2, -3.512e-4
125.000, -5.021e-2, -3.500e-4
130.000, -5.195e-2, -3.484e-4
135.000, -5.369e-2, -3.470e-4
140.000, -5.542e-2, -3.463e-4
145.000, -5.715e-2, -3.458e-4
150.000, -5.888e-2, -3.455e-4
155.000, -6.060e-2, -3.453e-4
160.000, -6.233e-2, -3.454e-4
165.000, -6.406e-2, -3.455e-4
170.000, -6.579e-2, -3.460e-4
175.000, -6.752e-2, -3.464e-4
180.000, -6.925e-2, -3.468e-4
185.000, -7.099e-2, -3.473e-4
190.000, -7.273e-2, -3.479e-4
195.000, -7.447e-2, -3.477e-4
200.000, -7.621e-2, -3.482e-4
205.000, -7.796e-2, -3.493e-4
210.000, -7.971e-2, -3.507e-4
215.000, -8.147e-2, -3.521e-4
220.000, -8.324e-2, -3.537e-4
225.000, -8.501e-2, -3.553e-4
230.000, -8.680e-2, -3.569e-4
235.000, -8.859e-2, -3.583e-4
240.000, -9.039e-2, -3.599e-4
245.000, -9.220e-2, -3.613e-4
250.000, -9.401e-2, -3.624e-4
255.000, -9.583e-2, -3.635e-4
260.000, -9.765e-2, -3.653e-4
265.000, -9.949e-2, -3.678e-4
270.000, -1.013e-1, -3.706e-4
275.000, -1.032e-1, -3.736e-4
280.000, -1.051e-1, -3.760e-4
285.000, -1.070e-1, -3.778e-4
290.000, -1.089e-1, -3.797e-4
295.000, -1.108e-1, -3.821e-4
300.000, -1.127e-1, -3.849e-4
305.000, -1.147e-1, -3.873e-4
310.000, -1.166e-1, -3.891e-4
315.000, -1.186e-1, -3.914e-4
320.000, -1.205e-1, -3.939e-4
325.000, -1.225e-1, -3.967e-4
330.000, -1.245e-1, -3.993e-4
335.000, -1.265e-1, -4.011e-4
340.000, -1.285e-1, -4.016e-4
345.000, -1.305e-1, -4.028e-4
350.000, -1.326e-1, -4.041e-4
355.000, -1.346e-1, -4.055e-4
360.000, -1.366e-1, -4.065e-4
365.000, -1.386e-1, -4.066e-4
370.000, -1.407e-1, -4.077e-4
375.000, -1.427e-1, -4.091e-4
380.000, -1.448e-1, -4.105e-4
385.000, -1.468e-1, -4.114e-4
390.000, -1.489e-1, -4.123e-4
395.000, -1.510e-1, -4.133e-4
400.000, -1.530e-1, -4.143e-4
405.000, -1.551e-1, -4.153e-4
410.000, -1.572e-1, -4.166e-4
415.000, -1.593e-1, -4.179e-4
420.000, -1.614e-1, -4.183e-4
425.000, -1.635e-1, -4.188e-4
430.000, -1.656e-1, -4.198e-4
435.000, -1.677e-1, -4.203e-4
440.000, -1.698e-1, -4.208e-4
445.000, -1.719e-1, -4.212e-4
450.000, -1.740e-1, -4.215e-4
455.000, -1.761e-1, -4.223e-4
460.000, -1.782e-1, -4.226e-4
465.000, -1.803e-1, -4.227e-4
470.000, -1.824e-1, -4.230e-4
475.000, -1.846e-1, -4.231e-4
480.000, -1.867e-1, -4.231e-4
485.000, -1.888e-1, -4.232e-4
490.000, -1.909e-1, -4.230e-4
495.000, -1.930e-1, -4.229e-4
500.000, -1.951e-1, -4.236e-4
505.000, -1.973e-1, -4.239e-4
510.000, -1.994e-1, -4.250e-4
515.000, -2.015e-1, -4.261e-4
520.000, -2.036e-1, -4.270e-4
525.000, -2.058e-1, -4.274e-4
530.000, -2.079e-1, -4.274e-4
535.000, -2.101e-1, -4.275e-4
540.000, -2.122e-1, -4.271e-4
545.000, -2.143e-1, -4.267e-4
550.000, -2.165e-1, -4.266e-4
555.000, -2.186e-1, -4.267e-4
560.000, -2.207e-1, -4.272e-4
565.000, -2.229e-1, -4.287e-4
570.000, -2.250e-1, -4.295e-4
575.000, -2.272e-1, -4.298e-4
580.000, -2.293e-1, -4.303e-4
585.000, -2.315e-1, -4.298e-4
590.000, -2.336e-1, -4.290e-4
595.000, -2.358e-1, -4.280e-4
600.000, -2.379e-1, -4.281e-4
605.000, -2.400e-1, -4.297e-4
610.000, -2.422e-1, -4.295e-4
615.000, -2.443e-1, -4.301e-4
620.000, -2.465e-1, -4.323e-4
625.000, -2.487e-1, -4.350e-4
630.000, -2.509e-1, -4.378e-4
635.000, -2.531e-1, -4.391e-4
640.000, -2.553e-1, -4.399e-4
645.000, -2.575e-1, -4.410e-4
650.000, -2.597e-1, -4.421e-4
655.000, -2.619e-1, -4.444e-4
660.000, -2.641e-1, -4.459e-4
665.000, -2.664e-1, -4.466e-4
670.000, -2.686e-1, -4.471e-4
675.000, -2.708e-1, -4.474e-4
680.000, -2.731e-1, -4.480e-4
685.000, -2.753e-1, -4.489e-4
690.000, -2.776e-1, -4.497e-4
695.000, -2.798e-1, -4.499e-4
700.000, -2.821e-1, -4.506e-4
705.000, -2.843e-1, -4.514e-4
710.000, -2.866e-1, -4.542e-4
715.000, -2.889e-1, -4.569e-4
720.000, -2.912e-1, -4.587e-4
725.000, -2.935e-1, -4.608e-4
730.000, -2.958e-1, -4.638e-4
735.000, -2.981e-1, -4.665e-4
740.000, -3.005e-1, -4.682e-4
745.000, -3.028e-1, -4.697e-4
750.000, -3.052e-1, -4.716e-4
755.000, -3.076e-1, -4.745e-4
760.000, -3.099e-1, -4.775e-4
765.000, -3.123e-1, -4.800e-4
770.000, -3.148e-1, -4.826e-4
775.000, -3.172e-1, -4.847e-4
780.000, -3.196e-1, -4.859e-4
785.000, -3.220e-1, -4.872e-4
790.000, -3.245e-1, -4.900e-4
795.000, -3.270e-1, -4.930e-4
800.000, -3.294e-1, -4.947e-4
805.000, -3.319e-1, -4.962e-4
